"post_title","post_description","post_excerpt","image","post_name","post_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","price","sale_price","weight","length","width","height","tax_status","tax_class","tax:product_type","tax:product_cat","tax:product_tag","tax:product_brand","attribute:Color","attribute_data:Color","attribute:Size","attribute_data:Size"," ","","","","","","","","","","","","","",""
"PHENOMENON THONG","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","TANGA MICROFIBRA ","","PHENOMENON-THONG","publish","015208","no ","no ","visible","","instock","no ","no ","26,700","","","","","","taxable ","","varieble","Tanga > Luxury > Azul  Slim ","Tanga  Slim ","Nylon 78% > Elastane 22% | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"PHENOMENON THONG","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","TANGA MICROFIBRA ","","PHENOMENON-THONG","publish","015213","no ","no ","visible","","instock","no ","no ","26,700","","","","","","taxable ","","varieble","Tanga > Luxury > Gris  Slim ","Tanga  Slim ","Nylon 78% > Elastane 22% | Microfibra","Gris ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP JOCKSTRAP","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-JOCKSTRAP","publish","014501","no ","no ","visible","","instock","no ","no ","30,300","","","","","","taxable ","","varieble","Suspensorio > Luxury > Blanco ","Suspensorio  Slim","Nylon 94% > Elastane 6% | Microfibra","Blanco","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP JOCKSTRAP","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-JOCKSTRAP","publish","014508","no ","no ","visible","","instock","no ","no ","30,300","","","","","","taxable ","","varieble","Suspensorio > Luxury > Azul  Slim ","Suspensorio  Slim ","Nylon 94% > Elastane 6% | Microfibra","Azul Oscuro","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"DEEP JOCKSTRAP","Permite que la zona intima tenga una caída natural y anatómica, creando una experiencia de uso realmente agradable y sensual. ","BRIEF MICROFIBRA ","","DEEP-JOCKSTRAP","publish","014511","no ","no ","visible","","instock","no ","no ","30,300","","","","","","taxable ","","varieble","Suspensorio > Luxury > Negro  Slim ","Suspensorio  Slim","Nylon 94% > Elastane 6% | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WAY SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR BRIEF ","","WAY-SWIMSUIT-BRIEF","publish","016205","no ","no ","visible","","instock","no ","no ","54,300","","","","","","taxable ","","varieble","Bañador brief > Bañadores > Estampado  Clásico","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Rojo ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WILD SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR BRIEF ","","WILD-SWIMSUIT-BRIEF","publish","016408","no ","no ","visible","","instock","no ","no ","54,301","","","","","","taxable ","","varieble","Bañador brief > Bañadores > Estampado  Clásico","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Azul Oscuro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"INDIVIDUAL SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort.","BAÑADOR BRIEF  ","","INDIVIDUAL-SWIMSUIT-BRIEF","publish","016501","no ","no ","visible","","instock","no ","no ","56,800","","","","","","taxable ","","varieble","Bañador brief > Bañadores > Blanco  Clásico ","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Blanco","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"INDIVIDUAL SWIMSUIT BRIEF","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR BRIEF ","","INDIVIDUAL-SWIMSUIT-BRIEF","publish","016511","no ","no ","visible","","instock","no ","no ","56,801","","","","","","taxable ","","varieble","Bañador brief > Bañadores > Negro  Clásico","Bañador Brief  Clásico","Polyester 85% > Elastane 15%  | Microfibra","Negro ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
"WAY ATLETA SHORT","Traje de baño adecuado para disfrutar del agua o el sol. Elaborado en telas de alta tecnología que le dan ese nivel ideal de calidad y confort. ","BAÑADOR SHORT  ","","WAY-ATLETA-SHORT","publish","016105","no ","no ","visible","","instock","no ","no ","92,000","","","","","","taxable ","","varieble","Bañador Short > Bañadores > Estampado  Short ","Bañador Short Corto ","Polyester 88% > Elastane 12%  | Microfibra","Rojo ","0|1|1","S | M | L | XL","0|1|1","","","","","","","","","","","","","","",""
